,Volcano Name,Eruption Type,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit,Year
7974,Northern EPR at 9.8°N,Confirmed Eruption,0,Undersea Features,Hawaii and Pacific Ocean,Submarine,9.83°N,104.3°W,-2500,1200
7975,Campi Flegrei,Confirmed Eruption,1,Italy,Mediterranean and Western Asia,Caldera,40.827°N,14.139°E,458,1198
7976,Etna,Confirmed Eruption,2,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1194
7977,Kuchinoshima,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,29.968°N,129.926°E,628,1190
7978,Merapi,Confirmed Eruption,0,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910,1190
7979,Mauna Loa,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.475°N,155.608°W,4170,1190
7980,"Chichon, El",Confirmed Eruption,4,Mexico,México and Central America,Lava dome,17.36°N,93.228°W,1150,1190
7981,Aniakchak,Confirmed Eruption,0,United States,Alaska,Caldera,56.88°N,158.17°W,1341,1190
7982,Pelee,Confirmed Eruption,0,France,West Indies,Stratovolcano,14.809°N,61.165°W,1394,1190
7983,Grimsvotn,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Caldera,64.416°N,17.316°W,1719,1190
7984,Krysuvik-Trolladyngja,Confirmed Eruption,1,Iceland,Iceland and Arctic Ocean,Crater rows,63.917°N,22.067°W,360,1188
7985,"Orizaba, Pico de",Uncertain Eruption,2,Mexico,México and Central America,Stratovolcano,19.03°N,97.27°W,5564,1187
7986,Kirishimayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700,1184
7987,Zaozan [Zaosan],Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Complex,38.144°N,140.44°E,1841,1183
7988,Izu-Oshima,Confirmed Eruption,4,Japan,"Japan, Taiwan, Marianas",Stratovolcano,34.724°N,139.394°E,746,1183
7989,Dieng Volcanic Complex,Confirmed Eruption,0,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565,1180
7990,Machin,Confirmed Eruption,0,Colombia,South America,Stratovolcano,4.487°N,75.389°W,2749,1180
7991,Soufriere Hills,Confirmed Eruption,0,United Kingdom,West Indies,Stratovolcano,16.72°N,62.18°W,915,1180
7992,Reykjanes,Confirmed Eruption,2,Iceland,Iceland and Arctic Ocean,Crater rows,63.817°N,22.717°W,140,1179
7993,Hakusan,Uncertain Eruption,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano,36.155°N,136.771°E,2702,1177
7994,Katla,Confirmed Eruption,3,Iceland,Iceland and Arctic Ocean,Subglacial,63.633°N,19.083°W,1490,1177
7996,Kirishimayama,Uncertain Eruption,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700,1175
7997,Etna,Discredited Eruption,0,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1175
7998,"Orizaba, Pico de",Confirmed Eruption,3,Mexico,México and Central America,Stratovolcano,19.03°N,97.27°W,5564,1175
7999,Mauna Loa,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.475°N,155.608°W,4170,1170
8000,Hakoneyama,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Complex,35.233°N,139.021°E,1438,1170
8001,Furnas,Confirmed Eruption,4,Portugal,Atlantic Ocean,Stratovolcano,37.77°N,25.32°W,805,1170
8002,Torfajokull,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Stratovolcano,63.892°N,19.122°W,1280,1170
8003,Etna,Uncertain Eruption,0,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1169
8005,Kirishimayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700,1167
8006,Etna,Confirmed Eruption,2,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1164
