Volcano Name,Eruption Type,Start Date,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit
Bezymianny,Confirmed Eruption,1997 Dec 5,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,55.972°N,160.595°E,2882
Colima,Confirmed Eruption,1997 Nov 22,3,Mexico,México and Central America,Stratovolcano(es),19.514°N,103.62°W,3850
Sumisujima,Uncertain Eruption,1997 Nov 21,0,Japan,"Japan, Taiwan, Marianas",Submarine,31.44°N,140.051°E,136
Fukutoku-Oka-no-Ba,Uncertain Eruption,1997 Nov 18,0,Japan,"Japan, Taiwan, Marianas",Submarine,24.285°N,141.481°E,-29
Niigata-Yakeyama,Confirmed Eruption,1997 Oct 29,1,Japan,"Japan, Taiwan, Marianas",Lava dome,36.921°N,138.036°E,2400
Ruapehu,Confirmed Eruption,1997 Oct 9,1,New Zealand,New Zealand to Fiji,Stratovolcano,39.28°S,175.57°E,2797
Klyuchevskoy,Confirmed Eruption,1997 Sep 7,1,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754
Alaid,Uncertain Eruption,1997 Aug 23,--,Russia,Kuril Islands,Stratovolcano,50.861°N,155.565°E,2285
Akita-Yakeyama,Confirmed Eruption,1997 Aug 16,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,39.964°N,140.757°E,1366
Bardarbunga,Uncertain Eruption,1997 Aug 16,0,Iceland,Iceland and Arctic Ocean,Stratovolcano,64.633°N,17.516°W,2000
"Watt, Morne",Confirmed Eruption,1997 Jul 15,1,Dominica,West Indies,Stratovolcano(es),15.307°N,61.305°W,1224
Sangeang Api,Confirmed Eruption,1997 Jul 2,2,Indonesia,Indonesia,Complex,8.2°S,119.07°E,1912
Kikai,Confirmed Eruption,1997 Jul 2,1,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704
Don Joao de Castro Bank,Uncertain Eruption,1997 Jun 27,0,Portugal,Atlantic Ocean,Submarine,38.23°N,26.63°W,-13
Masaya,Confirmed Eruption,1997 Jun 3,1,Nicaragua,México and Central America,Caldera,11.985°N,86.165°W,594
Shishaldin,Confirmed Eruption,1997 Jun 2,1,United States,Alaska,Stratovolcano,54.756°N,163.97°W,2857
San Cristobal,Confirmed Eruption,1997 May 19,1,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745
Akita-Yakeyama,Confirmed Eruption,1997 May 11,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,39.964°N,140.757°E,1366
Bezymianny,Confirmed Eruption,1997 May 8,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,55.972°N,160.595°E,2882
Cleveland,Confirmed Eruption,1997 May 5,2,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730
Monowai,Confirmed Eruption,1997 Apr 18,0,New Zealand,New Zealand to Fiji,Submarine,25.887°S,177.188°W,-132
Raung,Confirmed Eruption,1997 Apr 16,2,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260
Krakatau,Confirmed Eruption,1997 Mar 16,2,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155
Guagua Pichincha,Confirmed Eruption,1997 Mar 16,1,Ecuador,South America,Stratovolcano,0.171°S,78.598°W,4784
Llaima,Confirmed Eruption,1997 Mar 16,1,Chile,South America,Stratovolcano,38.692°S,71.729°W,3125
Kita-Ioto,Uncertain Eruption,1997 Mar 10,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,25.424°N,141.284°E,792
Sheveluch,Confirmed Eruption,1997 Mar 8,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.653°N,161.36°E,3283
Amukta,Confirmed Eruption,1997 Mar 3,1,United States,Alaska,Stratovolcano,52.5°N,171.252°W,1066
Okmok,Confirmed Eruption,1997 Feb 11,3,United States,Alaska,Shield,53.43°N,168.13°W,1073
Kavachi,Confirmed Eruption,1997 Jan 16,1,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20
Dieng Volcanic Complex,Confirmed Eruption,1996 Dec 31,1,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565
Suwanosejima,Confirmed Eruption,1996 Dec 26,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),29.638°N,129.714°E,796
McDonald Islands,Confirmed Eruption,1996 Dec 16,1,Australia,Middle East and Indian Ocean,Complex,53.03°S,72.6°E,230
Masaya,Confirmed Eruption,1996 Dec 5,1,Nicaragua,México and Central America,Caldera,11.985°N,86.165°W,594
Alaid,Confirmed Eruption,1996 Dec 3,2,Russia,Kuril Islands,Stratovolcano,50.861°N,155.565°E,2285
Nyamulagira,Confirmed Eruption,1996 Dec 1,3,DR Congo,Africa and Red Sea,Shield,1.408°S,29.2°E,3058
Akan,Confirmed Eruption,1996 Nov 21,1,Japan,"Japan, Taiwan, Marianas",Caldera,43.384°N,144.013°E,1499
Klyuchevskoy,Confirmed Eruption,1996 Nov 14,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754
Lascar,Confirmed Eruption,1996 Oct 18,2,Chile,South America,Stratovolcano(es),23.37°S,67.73°W,5592
Karangetang,Confirmed Eruption,1996 Oct 1,1,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797
Grimsvotn,Confirmed Eruption,1996 Sep 30,3,Iceland,Iceland and Arctic Ocean,Caldera,64.416°N,17.316°W,1719
Gareloi,Uncertain Eruption,1996 Sep 27,1,United States,Alaska,Stratovolcano,51.79°N,178.794°W,1573
Monowai,Confirmed Eruption,1996 Sep 20,0,New Zealand,New Zealand to Fiji,Submarine,25.887°S,177.188°W,-132
Amukta,Confirmed Eruption,1996 Sep 17,1,United States,Alaska,Stratovolcano,52.5°N,171.252°W,1066
Villarrica,Confirmed Eruption,1996 Sep 14,1,Chile,South America,Stratovolcano,39.42°S,71.93°W,2847
Pavlof,Confirmed Eruption,1996 Sep 11,2,United States,Alaska,Stratovolcano,55.417°N,161.894°W,2493
Adatarayama,Confirmed Eruption,1996 Sep 1,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),37.647°N,140.281°E,1728
Montagu Island,Uncertain Eruption,1996 Sep 1,1,United Kingdom,Antarctica,Shield,58.445°S,26.374°W,1370
Bardarbunga,Uncertain Eruption,1996 Aug 16,0,Iceland,Iceland and Arctic Ocean,Stratovolcano,64.633°N,17.516°W,2000
Kerinci,Confirmed Eruption,1996 Aug 16,1,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800
